Category,State / UT Name,Jail Type Sl.No.,Jail Type,Number of jails,Jail Sl.No.,Jail Name,Contact No.,VC for Remand Purpose,VC for Trial Purpose,VC for Other Purpose,Location1,Location2,Email ID
State,Andhra Pradesh,3,Sub Jail,98,3,"Sub Jail, Tekkali",NA,NO,NO,NO,"Sub Jail, Tekkali",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,4,"Sub Jail, Sompet",NA,NO,NO,NO,"Sub ail, Sompet",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,5,"Sub Jail, Ichapuram",NA,NO,NO,NO,"Sub Jail, Ichapuram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,6,"Sub Jail, Vizianagaram",0822-229381,NO,NO,NO,Gavara Veedhi Near Registrar Office Vizianagaram,NA,NA
State,Andhra Pradesh,3,Sub Jail,98,7,"Sub Jail, Parvathipuram",08963-220003,NO,NO,NO,"Near Tahisildar Office, Parvathipuram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,8,"Sub Jail, Bobbili",08944-254907,NO,NO,NO,"Near Tahasildar Office, Bobbili",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,9,"Sub Jail, S Kota",08966-265599,NO,NO,NO,Near Tahasildar Office S.Kota,NA,NA
State,Andhra Pradesh,3,Sub Jail,98,10,"Sub Jail, Cheepurupalli",08952-283733,NO,NO,NO,"Near Tahasildar Office, Cheepurupalli",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,11,"Sub Jail, Satur",08964-235193,NO,NO,NO,"Near Tahasildar Office, Salur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,12,"Sub Jail, Anakapalli",08924-226175,NO,NO,NO,"Sub Jail, Anakapalli D.No.-12-01-17, Main Road",Anakapalli-531101,sjanakapalli@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,13,"Sub Jail, Bheemili",NA,NO,NO,NO,"Sub Jail, Bheemunipatnam D.No.-24-15-62, Near DIET","Centre, Eguvapet, Main Road, Bheemili-531163",NA
State,Andhra Pradesh,3,Sub Jail,98,14,"Sub Jail, Chintapalli",NA,NO,NO,NO,"Sub Jail, Chintapalli, D.No.-5-10/10,","Near Sub Treasury, Main Road, Chintapalli-531111",NA
State,Andhra Pradesh,3,Sub Jail,98,15,"Sub Jail, Chodavaram",08934-246772,NO,NO,NO,"Sub Jail, Chodavaram, D.No.-8-97/2 Main Road",Chodavaram-531036,sjchodavaram@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,16,"Sub Jail, Narsipatnam",08932-286553,NO,NO,NO,"Sub Jail, Narsipatnam, D.No.-33-40, Main Road",Narsipatnam-531116,Sjnarsipatnam@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,17,"Sub Jail, Yelamanchili",08931-231904,NO,NO,NO,"sub Jail, yelamanchili, D.No.-12-129, Main Road,",Yelamanchili-531055,sjyelamanchili@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,18,"Sub Jail, Amalapuram",08856-236006,NO,NO,NO,"Near Tahasildar office Sub Jail, Amalapuram-533202",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,19,"Sub Jail, Ramachandrapuram",08857-244633,NO,NO,NO,"Court Compound Sub Jail, R.C. Puram-533255",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,20,"Sub Jail, Peddapuram",08852-243818,NO,NO,NO,"Near Tahasildar Office Sub Jail, peddapuram-533434",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,21,"Sub Jail, Prathipadu",08868-246633,NO,NO,NO,"Near Tahasildar Office Sub Jail, Prathipadu-533432",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,22,"Sub Jail, Tuni",08854-252883,NO,NO,NO,"Tahasildar Office Sub jail, Tuni-533401",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,23,"Sub Jail, Kothapeta",08855-244900,NO,NO,NO,"Near Tahasildar Office Sub Jail, Kothapeta-533223",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,24,"Special SubJail, Kakinada East Godavari Dist.",0884-2377056,NO,NO,NO,"Special Sub Jail, Court Compound Kakinada-533003",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,25,"Sub Jail, Pitapuram",NA,NO,NO,NO,Sub Jail Pitapuram,NA,NA
State,Andhra Pradesh,3,Sub Jail,98,26,"Sub Jail, Razole",NA,NO,NO,NO,"Sub Jail, Razole",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,27,"Sub Jail, Alamur",NA,NO,NO,NO,"Sub Jail, Alamur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,28,"Sub Jail, Mummadivaram",NA,NO,NO,NO,"Sub Jail, Mummadivaram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,29,"Sub Jail, Rajahmundry",NA,NO,NO,NO,"Sub Jail, Rajahmundry",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,30,"Sub Jail, Chintalapudi",08823-223513,NO,NO,NO,"Opp Fire Station, Chintalapudi",NA,subjailctp@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,31,"Sub Jail, Tadepalligudem",08818-226643,NO,NO,NO,"Opp Rly Station Road, Tadepalligudum",NA,kamalakarsogala@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,32,"Sub Jail, Narsapur",08814-277298,NO,NO,NO,"Steamer Road, Narsapur",NA,supdtsjnsp@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,33,"Sub Jail, Tanuku",08819-228066,NO,NO,NO,"Narendra Cinema Centre, Tanuku",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,34,"Sub Jail, Kovvur",NA,NO,NO,NO,"Lanchelarevu Down, Kovvur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,35,Sub Jail Polavaram,NA,NO,NO,NO,"Karmalpuram, Polavaram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,36,"Special Sub Jail, Bhimavaram",08816-23633,NO,NO,NO,"Govt. Hospital Road, Tq Compound Bhimavaram",NA,supdtssjbvrm@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,37,"Sub Jail, Gannavaram",08676-253585,NO,NO,NO,"Sub Jail, Court Compound, Gannavaram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,38,"Sub Jail, Gudivada",08674-247153,NO,NO,NO,"Sub Jail, MRO Compound, Gudivada",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,39,"Sub Jail, Jaggaiahpeta",08654-224014,NO,NO,NO,"Sub Jail, MRO Complex, Jaggaiahpeta",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,40,"Sub Jail, Kaikalur",08677-223565,NO,NO,NO,"Sub Jail, MRO Compound, Kaikaluru",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,41,"Sub Jail, Nandigama",08678-277419,NO,NO,NO,"Sub Jail, MRO Compound, Nandigama",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,42,"Sub Jail, Nuzvidu",08656-234187,NO,NO,NO,"Sub Jail, MRO Compound, Nuzvidu",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,43,"Sub Jail, Thiruvur",08673-251461,NO,NO,NO,"Sub Jail, MRO Compound, Thiruvuru",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,44,"Sub Jail, Avanigadda",08671-272800,NO,NO,NO,"MRO Compound, Sub Jail, Avanigadda",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,45,"Special Sub Jail, Machilipatnam",08672-230333,NO,NO,NO,"Spl. Sub Jail, MRO Compound, Machilipatnam",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,46,"Sub Jail, Bapatla",08643-225950,NO,NO,NO,"MRO Office Complex, Bapatla-522101 Guntur Dt.",NA,jenny.kallem@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,47,"Sub Jail, Ponnur",08643-244713,NO,NO,NO,"Near Sub Registrar Office, Ponnur-522 124",NA,krishika.ganesh@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,48,"Sub Jail, Tenali",08644-220147,NO,NO,NO,"Kothapet, Near MRO Office, Tenali-522201 Guntur Dt",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,49,"Sub Jail, Repalle",08648-223770,NO,NO,NO,"Near MRO Office, Repalle-522265 Guntur Dt.",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,50,"Sub Jail, Sattenapalli",08641-234047,NO,NO,NO,"Near MRO Office, Sattenapalli-522403 Guntur Dt",NA,mimmamahipalreddy@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,51,"Sub Jail, Vinukonda",08641-234047,NO,NO,NO,"Near MRO Office, Vinukoda-522647 Guntur DT",NA,shekardsp@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,52,"Sub Jail, Mangalagiri",08645-233507,NO,NO,NO,Near MRO Office Mangalagiri-522503 Guntur DT,NA,NA
State,Andhra Pradesh,3,Sub Jail,98,53,"Special Sub Jail, Narasaraopeta",08647-227844,NO,NO,NO,Near MRO office Narasaraopet-522601 Guntur DT,NA,spl.subjailnarasaraopet@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,54,"Special Sub Jail, Gurzala",08649-248263,NO,NO,NO,"Near MRO Office, Gurazala-522415 Guntur",NA,ammudedeepya@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,55,"Sub Jail, Jammalamaduru",08560-271559,NO,NO,NO,"Sub Jail, Tadipatri Road, Jammalamaduru",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,56,"Sub Jail, Proddatur",08564-248822,NO,NO,NO,"Sub Jail, 3 Town Police Station Backside,","Rajiv Circle, Proddatur",NA
State,Andhra Pradesh,3,Sub Jail,98,57,"Sub Jail, Kamalapuram",08563-274778,NO,NO,NO,"Sub Jail, Near MRO Office, Kamalapuram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,58,"Sub Jail, Pulivendula",08568-286074,NO,NO,NO,"Sub Jail, Near MRO Office, Pulivendula",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,59,"Sub Jail, Rayachoty",08561-256561,NO,NO,NO,"Sub Jail, Opp BSNL Office, Rayachoty,",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,60,"Sub Jail, Badvel",08569-284505,NO,NO,NO,"Sub Jail, Porumamilla Road, Badvel",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,61,"Sub Jail, Rajampet",08565-241333,NO,NO,NO,"Sub Jail,  Near Sub Treasury Office, Rajampet",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,62,"Sub Jail, Allagada",08519-222099,NO,NO,NO,"Sub Jail, MRO Office, Backside, Allagada-518543",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,63,"Sub Jail, Banaganapalle",08515-228877,NO,NO,NO,"Sub Jail, Banaganapalle, Near MRO Office,",Banaganapelle-518124,subjailbabaganapalle@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,64,"Sub Jail, Dhone",08516-222435,NO,NO,NO,"Sub Jail, Dhone, Near Police Station, Dhone-518222",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,65,"Sub Jail, Nandikotkur",08513-281733,NO,NO,NO,"Sub Jail, Nandikotkur, Near MRO Office,",Nandikotkur-518401,NA
State,Andhra Pradesh,3,Sub Jail,98,66,"Sub Jail, Pathikonda",08520-226933,NO,NO,NO,"Sub Jail,  Pathikonda Beside Court",Pathikonda-518580,NA
State,Andhra Pradesh,3,Sub Jail,98,67,"Special Sub Jail, Adoni",08512-253368,NO,NO,NO,"Special Sub Jail, Near MRO Office, Adoni","Court Compound,",NA
State,Andhra Pradesh,3,Sub Jail,98,68,"Special Sub Jail, Kurnool",08518-247227,NO,NO,NO,"Special Sub Jail, Taluk Office Premises, Kurnool",NA,rahamans@yahoomail.com
State,Andhra Pradesh,3,Sub Jail,98,69,"Special Sub Jail, Nandyal",08514-222811,NO,NO,NO,"Spl Sub Jail, Near MRO Ofifce, Tekke, Nandyal",NA,veerendrarevada@gmail.com
State,Andhra Pradesh,3,Sub Jail,98,70,"Sub Jail, Dharmavaram",08559-221840,NO,NO,NO,"Sub Jail, Beside 1 Town Police Station,",Dharmavaram,NA
State,Andhra Pradesh,3,Sub Jail,98,71,"Sub Jail, Hindupur",08556-223677,NO,NO,NO,"Sub Jail, Beside Tahasildar Office, Hindupur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,72,"Sub Jail, Kadiri",08494-220033,NO,NO,NO,"Sub Jail, Kadiri",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,73,"Sub Jail, Kalyandurg",08497-221233,NO,NO,NO,"Sub Jail, Beside Tahasildar Office, Kalyandurg",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,74,"Sub Jail, Penukonda",08555-220969,NO,NO,NO,"Sub Jail, Beside Tahasildar Office, Penukonda",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,75,"Sub Jail, Tadipatri",08558-223333,NO,NO,NO,"sub Jail, Beside Tahasildar Office, Tadipatri",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,76,"Sub Jail, Uravakonda",08496-257111,NO,NO,NO,"Sub Jail, Uravakonda",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,77,"Special Sub Jail, Gooty",08552-252133,NO,NO,NO,"Special Sub Jail, Gooty",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,78,"Sub Jail, Piler",08584-241708,NO,NO,NO,"Sub Jail, D.No.111/167 Near Police Station","Nehru Bazaar Piler, Chittoor District",NA
State,Andhra Pradesh,3,Sub Jail,98,79,"Sub Jail, Srikalahasthi",08578-220529,NO,NO,NO,"Sub Jail, Bahadur Pet, Srikalahasthi",Chittoor District,NA
State,Andhra Pradesh,3,Sub Jail,98,80,"Sub Jail, Satyavedu",08576-227544,NO,NO,NO,"sub Jail, D.No.3-29, Ram Nagar Street Satyavedu",Chittoor District,NA
State,Andhra Pradesh,3,Sub Jail,98,81,"Sub Jail, Puttur",NA,NO,NO,NO,"sub Jail, Puttur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,82,"Sub Jail, Valmikipuram",NA,NO,NO,NO,"Sub Jail, Valmikpuram",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,83,"Sub Jail, Palamaneru",NA,NO,NO,NO,"Sub Jail, Palamaneru",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,84,"Sub Jail, Chandragiri",NA,NO,NO,NO,"Sub Jail, Chandragiri",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,85,"Special Sub Jail, Madanapalle",08571-220899,NO,NO,NO,"No.1-424-2, Giri Rao Street, Madanapalle,",Chittoor District,NA
State,Andhra Pradesh,3,Sub Jail,98,86,"Special Sub jail, Tirupathi",0877-2260012,NO,NO,NO,"Vesalamma Temple Street, Court Compound","Tirupathi, Chittoor District",NA
State,Andhra Pradesh,3,Sub Jail,98,87,"Sub Jail, Kavali",08626-250226,NO,NO,NO,"sub Jail, Kavali, SPSR Nellore District",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,88,"Sub Jail, Atmakur",08627-220699,NO,NO,NO,"Sub Jail, Atmakur, SPSR Nellore District",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,89,"Sub Jail, Venkatagiri",NA,NO,NO,NO,"Sub Jail, Venkatagiri",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,90,"Sub Jail, Sullurpet",NA,NO,NO,NO,"Sub Jail, Sullurpet",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,91,"Special Sub Jail, Gudur",08624-221818,NO,NO,NO,"Special Sub Jail, Gudur, SPSR Nellore District",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,92,"Sub Jail, Darsi",08407-253551,NO,NO,NO,"Sub Jail, MRO Complex, Darsi",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,93,"Sub Jail, Markapur",08595-223033,NO,NO,NO,"Sub jail, MRO Complex, Markapur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,94,"Sub Jail, Kandukur",NA,NO,NO,NO,"Sub Jail, Kandukur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,95,"Sub Jail, Giddalur",NA,NO,NO,NO,"Sub Jail, Giddalur",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,96,"Sub Jail, Kanigiri",NA,NO,NO,NO,"Sub Jail, Kanigiri",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,97,"Sub Jail, yerragondapalem",NA,NO,NO,NO,"Sub Jail, Yerragondapalem",NA,NA
State,Andhra Pradesh,3,Sub Jail,98,98,"Sub Jail, Podili",NA,NO,NO,NO,"Sub Jail, Podili",NA,NA
State,Andhra Pradesh,4,Women Jail,1,1,Special Prison for Women,0883-2471453,NO,NO,NO,"Central Prison Compound, Rajahmundry",NA,spwrjy@gmail.com
State,Andhra Pradesh,5,Open Jail,1,1,"Prisoners Agricultural Colony, Anantapuram",08554-201533,NO,NO,NO,"Prisoners Agricultural Colony, Bukkarayasamudram(P",Anantapuram,sppacatp@gmail.com
State,Arunachal Pradesh,1,District Jail,2,1,"District Jail Jully, Itanagar",9436895865,NO,NO,NO,"Jully, Itanagar, Arunachal Pradesh",NA,arunachaljail@gmail.com
State,Arunachal Pradesh,1,District Jail,2,2,District Jail Tezu,9402244418,NO,NO,NO,"District Jail Tezu, Arunachal Pradesh",NA,jailtezu@gmail.com
State,Assam,1,Central Jail,6,1,"Central Jail, Guwahati",0361-2540757,NO,NO,NO,"Sarusajai, Central Jail, Guwahati",NA,jalguwahaticentral@yahoo.com
State,Assam,1,Central Jail,6,2,"Central Jail, Tezpur",03712-220023,NO,NO,NO,"Tezpur, Sonitpur-784001",NA,jailtezpurcentral@yahoo.com
State,Assam,1,Central Jail,6,3,"Central Jail, Silchar",03842-265366,NO,NO,NO,"Silchar, Cahar",NA,jailsilcharcentral@yahoo.com
State,Assam,1,Central Jail,6,4,"Central Jail, Dibrugarh",0373-2326057,NO,NO,NO,"Dibrugarh, Ward No.15, PO & Dist. Dibrugarh",NA,jaildibrugarhcentral@yahoo.com
State,Assam,1,Central Jail,6,5,"Central Jail, Jorhat",0376-2340985,NO,NO,NO,Jorhat,NA,jailjorhatcentral@yahoo.com
State,Assam,1,Central Jail,6,6,"Central Jail, Nagaon",03672-250730,NO,NO,NO,"Nagaon, PO & Dist. Nagaon",NA,jailnagaoncentral@yahoo.com
State,Assam,2,District Jail,22,1,"District Jail, Nalbari","03624-220252, 0940164-45036",NO,NO,NO,Nalbari Po & Dist. Nalbari,NA,jailnalbari@yahoo.com
State,Assam,2,District Jail,22,2,"District Jail, Barpeta","03665-253085, 09435737226",NO,NO,NO,"Barpeta, PO & Dist. Barpeta",NA,jailbarpeta@yahoo.com
State,Assam,2,District Jail,22,3,"District Jail, Kokrajhar","03661-270934, 08255098175",NO,NO,NO,"Kokrajhar, PO & Dist. Kokrajhar",NA,jailkokrajhar@yahoo.com
State,Assam,2,District Jail,22,4,"District Jail, Dhubri","03662-230340, 09854034574",NO,NO,NO,Dhubri PO & Dist. Dhubri,NA,jaildhubri@yahoo.com
State,Assam,2,District Jail,22,5,"District Jail, Goalpara","03663-240035, 9864191718",NO,NO,NO,"Goalpara, PO & Dist. Goalpara",NA,jailgoalpara@yahoo.com
State,Assam,2,District Jail,22,6,"District Jail, Mangaldoi","03713-222126, 09706917331",NO,NO,NO,"Po Mangaldoi, Dist. Darrang",NA,jailmangaldoi@yahoo.com
State,Assam,2,District Jail,22,7,"District Jail, Hailakandi","03844-222213, 094351-60606",NO,NO,NO,"Hailakandi, PO & Dist. Hailakandi",NA,jailhailakandi@yahoo.com
State,Assam,2,District Jail,22,8,"District Jail, Karimganj","03843-262009, 09435602351",NO,NO,NO,"Karimganj, PO & Dist. Karimganj",NA,jailkarimganj@yahoo.com
State,Assam,2,District Jail,22,9,"District Jail, North Lakhimpur","03752-222239, 09435374998",NO,NO,NO,"North Lakhimpur, Po & Dist. Lakhimpur",NA,jaillakhimpur@yahoo.com
State,Assam,2,District Jail,22,10,"District Jail, Sivasagar","03772-222924, 09435486524",NO,NO,NO,Sivasagar,NA,jailsivasagar@yahoo.com
State,Assam,2,District Jail,22,11,"District Jail, Golaghat","03774-285154, 09435354840",NO,NO,NO,Golaghat Po & Dist,NA,jailgolaghat@yahoo.com
State,Assam,2,District Jail,22,12,"District Jail, Majuli","03775-274414, 09435061858",NO,NO,NO,Majuli Po Majuli Dist. Jorhat,NA,jailmajuli@yahoo.com
State,Assam,2,District Jail,22,13,"District Jail, Abhayapuri","03664-281494, 09957907417",NO,NO,NO,"Abhayapuri PO, Dist. Bongaigaon",NA,jailabhayapuri@yahoo.com
State,Assam,2,District Jail,22,14,"District Jail, Diphu","03671-272686, 09957115543",NO,NO,NO,"Po Diphu, Dist. Karbi Anglong",NA,jaildiphu@yahoo.com
State,Assam,2,District Jail,22,15,"District Jail, Hamren","03677-230053, 09678663456",NO,NO,NO,Hamren Po Dist. Karbi Anglong,NA,jailhamren@yahoo.com
State,Assam,2,District Jail,22,16,"District Jail, Biswanath Chariali","03715-223130, 09859183825",NO,NO,NO,"Biswanath Chariali, Po Dist. Sonitpur",NA,jailbnc@yahoo.com
State,Assam,2,District Jail,22,17,"District Jail, Dhemaji","03753-225212, 09678320177",NO,NO,NO,Po & Dist. Dhemaji,NA,jaildhemaji@yahoo.com
State,Assam,2,District Jail,22,18,"District Jail, Morigaon","03678-216026, 09435360695",NO,NO,NO,Morigaon Po & Dist.,NA,jailmorigaon@yahoo.com
State,Assam,2,District Jail,22,19,"District Jail, Sonari","03772-213954, 09706603142",NO,NO,NO,"Po Sonari, Dist. Sivasagar",NA,jailsonari@yahoo.com
State,Assam,2,District Jail,22,20,"District Jail, Tinsukia","0374-2330550, 09435630924",NO,NO,NO,Tinsukia Po & Dist.,NA,jailtinsukia@yahoo.com
State,Assam,2,District Jail,22,21,"District Jail, Sadiya","03759-244090, 08486605774",NO,NO,NO,Sadiya Po Dist. Tinsukia,NA,jailsadiya@yahoo.com
State,Assam,2,District Jail,22,22,"District Jail, Udalguri",9435426980,NO,NO,NO,Udalguri PO & Dist.,NA,jailudalguri@yahoo.com
State,Assam,3,Sub Jail,1,1,"Sub Jail, Haflong","03673-237158, 09435302981",NO,NO,NO,"Supdt. Of Jail I/C Po Haflong, Dist. Dima Hasao",NA,jailhaflon@yahoo.com
State,Assam,4,Open Jail,1,1,"Open Air Jail, Jorhat","0376-21340534, 09435321068",NO,NO,NO,Po & Dist. Jorhat,NA,jailmnojorhat@yahoo.com
State,Assam,5,Special Jail,1,1,"Special Jail, Nagaon","03672-250730, 094350-25174",NO,NO,NO,PO & Dist. Nagaon,NA,jailnagaonspl@yahoo.com
State,Bihar,1,Central Jail,7,1,"Model Central Jail, Berur",0612-2250352,YES,NO,YES,Patna Dist. Patna-800002,NA,cj_beur@rediffmail.com
State,Bihar,1,Central Jail,7,2,"Central Jail, Gaya",6312220291,YES,YES,NO,Distt. Gaya-823001,NA,cj_gaya@rediffmail.com
State,Bihar,1,Central Jail,7,3,SKB Central Jail Muzaffapur,0621-2287114,YES,YES,YES,Distt. Muzaffarpur-842001,NA,cj_muzaffarpur@rediffmail.com
State,Bihar,1,Central Jail,7,4,"SJS Central, Bhagalpur",0641-2611751,NO,NO,NO,Distt. Bhagalpur-812001,NA,cj_bhagalpur@rediffmail.com
State,Bihar,1,Central Jail,7,5,"Central Jail, Motihari",06252-232960,YES,YES,YES,Distt. East Champaran-845401,NA,cj_motihari@rediffmail.com
State,Bihar,1,Central Jail,7,6,"Central Jail, Purena",06454-242557,NO,NO,NO,Dist. Purnea-854301,NA,cj_purena@rediffmail.com
State,Bihar,1,Central Jail,7,7,"Central Jail, Buxar",06183-222011,YES,NO,NO,Distt. Buxar-802101,NA,cj_buxar@rediffmail.com
State,Bihar,2,District Jail,31,1,DJ Araria,06453-224644,YES,NO,NO,Distt. Araria-854311,NA,dj_araria@rediffmail.com
State,Bihar,2,District Jail,31,2,DJ Arrah,06182-221349,YES,NO,NO,Distt. Arrah-802301,NA,dj_arra@rediffmail.com
State,Bihar,2,District Jail,31,3,DJ Aurangabad,06453-224644,YES,YES,NO,Distt. Aurangabad-824101,NA,dj_aurangabad@rediffmail.com
State,Bihar,2,District Jail,31,4,DJ Banka,06424-232264,YES,NO,NO,Distt. Banka-813102,NA,dj_banka@rediffmail.com
State,Bihar,2,District Jail,31,5,DJ Begusarai,06243-222081,YES,YES,NO,Distt. Begusarai-851101,NA,dj_begusarai@rediffmail.com
State,Bihar,2,District Jail,31,6,DJ Bettiah,06254-233167,NO,YES,NO,Distt. West Champaran-845438,NA,dj_betiah@rediffmail.com
State,Bihar,2,District Jail,31,7,DJ Bhabhua,06189-223378,YES,NO,NO,Distt. Kaimur-821101,NA,dj_bhabhua@rediffmail.com
State,Bihar,2,District Jail,31,8,DJ Biharsharif,06112-222496,YES,YES,NO,Distt. Biharsharif-803101,NA,dj_biharsharif@rediffmail.com
State,Bihar,2,District Jail,31,9,DJ Chhapra,06152-232304,YES,NO,NO,Distt. Saran-841301,NA,dj_chhapra@rediffmail.com
State,Bihar,2,District Jail,31,10,DJ Darbhanga,06272-240075,NO,YES,NO,Distt. Darbhanga-846004,NA,dj_darbhanga@rediffmail.com
