state_name,is_state,year,gender,convicts,under_trial,detenues,others
Andhra Pradesh,1,2003,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2003,Male,Christian,471,722,0,0
Andhra Pradesh,1,2003,Male,Hindu,4020,6388,11,0
Andhra Pradesh,1,2003,Male,Muslim,466,1208,7,0
Andhra Pradesh,1,2003,Male,Others,10,35,0,0
Andhra Pradesh,1,2003,Male,Sikh,8,25,0,0
Andhra Pradesh,1,2004,Female,Christian,11,27,0,0
Andhra Pradesh,1,2004,Female,Hindu,168,491,8,0
Andhra Pradesh,1,2004,Female,Muslim,18,59,1,0
Andhra Pradesh,1,2004,Female,Others,0,0,0,0
Andhra Pradesh,1,2004,Female,Sikh,0,2,0,0
Andhra Pradesh,1,2004,Male,Christian,421,782,2,0
Andhra Pradesh,1,2004,Male,Hindu,3727,6258,21,0
Andhra Pradesh,1,2004,Male,Muslim,407,1332,6,0
Andhra Pradesh,1,2004,Male,Others,0,84,0,0
Andhra Pradesh,1,2004,Male,Sikh,13,43,0,0
Andhra Pradesh,1,2005,Female,Christian,13,30,0,0
Andhra Pradesh,1,2005,Female,Hindu,166,593,0,0
Andhra Pradesh,1,2005,Female,Muslim,19,62,0,0
Andhra Pradesh,1,2005,Female,Others,0,0,0,0
Andhra Pradesh,1,2005,Female,Sikh,0,1,0,0
Andhra Pradesh,1,2005,Male,Christian,482,801,1,0
Andhra Pradesh,1,2005,Male,Hindu,3808,6519,6,0
Andhra Pradesh,1,2005,Male,Muslim,508,1461,3,0
Andhra Pradesh,1,2005,Male,Others,0,91,0,0
Andhra Pradesh,1,2005,Male,Sikh,15,34,0,0
Andhra Pradesh,1,2006,Female,Christian,34,30,0,0
Andhra Pradesh,1,2006,Female,Hindu,134,527,1,0
Andhra Pradesh,1,2006,Female,Muslim,18,51,0,0
Andhra Pradesh,1,2006,Female,Others,21,29,0,0
Andhra Pradesh,1,2006,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2006,Male,Christian,354,627,0,5
Andhra Pradesh,1,2006,Male,Hindu,4180,7135,14,24
Andhra Pradesh,1,2006,Male,Muslim,491,1554,2,5
Andhra Pradesh,1,2006,Male,Others,36,85,0,0
Andhra Pradesh,1,2006,Male,Sikh,19,44,1,0
Andhra Pradesh,1,2007,Female,Christian,49,47,0,0
Andhra Pradesh,1,2007,Female,Hindu,135,494,0,0
Andhra Pradesh,1,2007,Female,Muslim,20,60,0,0
Andhra Pradesh,1,2007,Female,Others,28,33,0,0
Andhra Pradesh,1,2007,Female,Sikh,0,1,0,0
Andhra Pradesh,1,2007,Male,Christian,268,495,0,0
Andhra Pradesh,1,2007,Male,Hindu,4271,6664,20,19
Andhra Pradesh,1,2007,Male,Muslim,719,1435,1,1
Andhra Pradesh,1,2007,Male,Others,54,149,0,0
Andhra Pradesh,1,2007,Male,Sikh,15,67,0,0
Andhra Pradesh,1,2008,Female,Christian,4,36,0,0
Andhra Pradesh,1,2008,Female,Hindu,199,553,0,0
Andhra Pradesh,1,2008,Female,Muslim,19,41,0,0
Andhra Pradesh,1,2008,Female,Others,1,21,0,0
Andhra Pradesh,1,2008,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2008,Male,Christian,318,547,2,1
Andhra Pradesh,1,2008,Male,Hindu,4083,5945,17,10
Andhra Pradesh,1,2008,Male,Muslim,665,1316,1,1
Andhra Pradesh,1,2008,Male,Others,71,171,1,0
Andhra Pradesh,1,2008,Male,Sikh,18,39,0,0
Andhra Pradesh,1,2009,Female,Christian,7,32,0,0
Andhra Pradesh,1,2009,Female,Hindu,156,486,2,0
Andhra Pradesh,1,2009,Female,Muslim,27,45,0,0
Andhra Pradesh,1,2009,Female,Others,7,14,0,0
Andhra Pradesh,1,2009,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2009,Male,Christian,349,481,8,1
Andhra Pradesh,1,2009,Male,Hindu,3139,5634,30,14
Andhra Pradesh,1,2009,Male,Muslim,782,1354,0,0
Andhra Pradesh,1,2009,Male,Others,55,156,0,0
Andhra Pradesh,1,2009,Male,Sikh,14,15,0,0
Andhra Pradesh,1,2010,Female,Christian,12,31,0,0
Andhra Pradesh,1,2010,Female,Hindu,186,469,2,0
Andhra Pradesh,1,2010,Female,Muslim,26,31,0,0
Andhra Pradesh,1,2010,Female,Others,7,15,0,0
Andhra Pradesh,1,2010,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2010,Male,Christian,243,350,0,0
Andhra Pradesh,1,2010,Male,Hindu,3776,5265,28,13
Andhra Pradesh,1,2010,Male,Muslim,457,1357,0,0
Andhra Pradesh,1,2010,Male,Others,83,108,0,0
Andhra Pradesh,1,2010,Male,Sikh,8,23,0,0
Andhra Pradesh,1,2011,Female,Christian,8,28,0,0
Andhra Pradesh,1,2011,Female,Hindu,218,484,1,0
Andhra Pradesh,1,2011,Female,Muslim,29,60,0,0
Andhra Pradesh,1,2011,Female,Others,6,8,0,0
Andhra Pradesh,1,2011,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2011,Male,Christian,538,401,0,1
Andhra Pradesh,1,2011,Male,Hindu,3258,6005,11,13
Andhra Pradesh,1,2011,Male,Muslim,527,1344,2,0
Andhra Pradesh,1,2011,Male,Others,44,184,0,3
Andhra Pradesh,1,2011,Male,Sikh,10,30,0,0
Andhra Pradesh,1,2012,Female,Christian,24,28,0,0
Andhra Pradesh,1,2012,Female,Hindu,221,546,1,1
Andhra Pradesh,1,2012,Female,Muslim,33,53,0,0
Andhra Pradesh,1,2012,Female,Others,7,10,0,0
Andhra Pradesh,1,2012,Female,Sikh,0,0,0,0
Andhra Pradesh,1,2012,Male,Christian,504,413,0,2
Andhra Pradesh,1,2012,Male,Hindu,3124,6002,3,5
Andhra Pradesh,1,2012,Male,Muslim,649,1236,0,0
Andhra Pradesh,1,2012,Male,Others,142,230,0,0
Andhra Pradesh,1,2012,Male,Sikh,18,33,0,0
Andhra Pradesh,1,2013,Female,Christian,9,45,0,0
Andhra Pradesh,1,2013,Female,Hindu,243,495,1,0
Andhra Pradesh,1,2013,Female,Muslim,37,65,0,0
Andhra Pradesh,1,2013,Female,Others,0,2,0,0
Andhra Pradesh,1,2013,Female,Sikh,0,2,0,0
Andhra Pradesh,1,2013,Male,Christian,405,496,0,0
Andhra Pradesh,1,2013,Male,Hindu,3159,7069,6,7
Andhra Pradesh,1,2013,Male,Muslim,604,1344,0,0
Andhra Pradesh,1,2013,Male,Others,127,145,0,0
Andhra Pradesh,1,2013,Male,Sikh,14,38,0,0
Arunachal Pradesh,1,2009,Female,Christian,0,2,0,0
Arunachal Pradesh,1,2009,Female,Hindu,0,0,0,0
Arunachal Pradesh,1,2009,Female,Muslim,0,2,0,0
Arunachal Pradesh,1,2009,Female,Others,0,0,0,0
Arunachal Pradesh,1,2009,Female,Sikh,0,0,0,0
Arunachal Pradesh,1,2009,Male,Christian,0,29,0,0
Arunachal Pradesh,1,2009,Male,Hindu,2,20,0,0
Arunachal Pradesh,1,2009,Male,Muslim,0,6,0,0
Arunachal Pradesh,1,2009,Male,Others,0,1,0,0
Arunachal Pradesh,1,2009,Male,Sikh,0,0,0,0
Arunachal Pradesh,1,2010,Female,Christian,0,2,0,0
Arunachal Pradesh,1,2010,Female,Hindu,0,1,0,0
Arunachal Pradesh,1,2010,Female,Muslim,0,1,0,0
Arunachal Pradesh,1,2010,Female,Others,0,0,0,0
Arunachal Pradesh,1,2010,Female,Sikh,0,0,0,0
Arunachal Pradesh,1,2010,Male,Christian,0,21,0,0
Arunachal Pradesh,1,2010,Male,Hindu,4,20,0,0
Arunachal Pradesh,1,2010,Male,Muslim,0,7,0,0
Arunachal Pradesh,1,2010,Male,Others,1,0,0,0
Arunachal Pradesh,1,2010,Male,Sikh,0,0,0,0
Arunachal Pradesh,1,2011,Female,Christian,0,2,0,0
Arunachal Pradesh,1,2011,Female,Hindu,0,2,0,0
Arunachal Pradesh,1,2011,Female,Muslim,0,0,0,0
Arunachal Pradesh,1,2011,Female,Others,0,1,0,0
Arunachal Pradesh,1,2011,Female,Sikh,0,0,0,0
Arunachal Pradesh,1,2011,Male,Christian,2,17,0,0
Arunachal Pradesh,1,2011,Male,Hindu,2,12,0,0
Arunachal Pradesh,1,2011,Male,Muslim,0,6,0,0
Arunachal Pradesh,1,2011,Male,Others,2,9,0,0
Arunachal Pradesh,1,2011,Male,Sikh,0,0,0,0
Arunachal Pradesh,1,2012,Female,Christian,0,4,0,0
Arunachal Pradesh,1,2012,Female,Hindu,0,0,0,0
Arunachal Pradesh,1,2012,Female,Muslim,0,0,0,0
Arunachal Pradesh,1,2012,Female,Others,0,0,0,0
Arunachal Pradesh,1,2012,Female,Sikh,0,0,0,0
Arunachal Pradesh,1,2012,Male,Christian,3,26,0,0
Arunachal Pradesh,1,2012,Male,Hindu,0,10,0,0
Arunachal Pradesh,1,2012,Male,Muslim,1,17,0,0
Arunachal Pradesh,1,2012,Male,Others,0,10,0,0
Arunachal Pradesh,1,2012,Male,Sikh,0,0,0,0
Arunachal Pradesh,1,2013,Female,Christian,1,0,0,0
Arunachal Pradesh,1,2013,Female,Hindu,0,0,0,0
Arunachal Pradesh,1,2013,Female,Muslim,0,0,0,0
Arunachal Pradesh,1,2013,Female,Others,0,1,0,0
Arunachal Pradesh,1,2013,Female,Sikh,0,0,0,0
Arunachal Pradesh,1,2013,Male,Christian,3,27,0,0
Arunachal Pradesh,1,2013,Male,Hindu,3,31,0,0
Arunachal Pradesh,1,2013,Male,Muslim,1,10,0,0
Arunachal Pradesh,1,2013,Male,Others,3,12,0,0
Arunachal Pradesh,1,2013,Male,Sikh,0,0,0,0
Assam,1,2001,Female,Christian,5,7,0,0
Assam,1,2001,Female,Hindu,31,64,0,0
Assam,1,2001,Female,Muslim,11,56,0,0
Assam,1,2001,Female,Others,0,0,0,0
Assam,1,2001,Female,Sikh,0,0,0,0
Assam,1,2001,Male,Christian,127,257,3,0
Assam,1,2001,Male,Hindu,1428,1937,8,1
Assam,1,2001,Male,Muslim,777,1651,4,0
Assam,1,2001,Male,Others,20,51,1,0
Assam,1,2001,Male,Sikh,4,42,0,0
Assam,1,2002,Female,Christian,2,10,0,0
Assam,1,2002,Female,Hindu,37,58,0,0
Assam,1,2002,Female,Muslim,15,45,0,0
Assam,1,2002,Female,Others,0,0,0,0
Assam,1,2002,Female,Sikh,0,0,0,0
Assam,1,2002,Male,Christian,110,306,0,0
Assam,1,2002,Male,Hindu,1639,2117,13,0
Assam,1,2002,Male,Muslim,905,1720,5,0
Assam,1,2002,Male,Others,19,43,0,0
Assam,1,2002,Male,Sikh,3,20,0,0
Assam,1,2003,Female,Christian,6,3,0,0
Assam,1,2003,Female,Hindu,50,98,2,0
Assam,1,2003,Female,Muslim,14,33,0,0
Assam,1,2003,Female,Others,2,3,0,0
Assam,1,2003,Female,Sikh,0,0,0,0
Assam,1,2003,Male,Christian,155,300,0,0
Assam,1,2003,Male,Hindu,1878,2596,22,3
Assam,1,2003,Male,Muslim,934,1398,7,0
Assam,1,2003,Male,Others,37,67,0,0
Assam,1,2003,Male,Sikh,4,25,0,0
Assam,1,2004,Female,Christian,6,8,1,0
Assam,1,2004,Female,Hindu,52,69,38,0
Assam,1,2004,Female,Muslim,18,54,1,0
Assam,1,2004,Female,Others,1,3,0,0
Assam,1,2004,Female,Sikh,0,0,0,0
Assam,1,2004,Male,Christian,114,323,4,0
Assam,1,2004,Male,Hindu,2021,2318,193,4
Assam,1,2004,Male,Muslim,1038,1437,18,3
Assam,1,2004,Male,Others,13,41,0,0
Assam,1,2004,Male,Sikh,5,45,0,0
Assam,1,2005,Female,Christian,8,2,0,0
Assam,1,2005,Female,Hindu,46,92,3,0
Assam,1,2005,Female,Muslim,23,38,0,0
Assam,1,2005,Female,Others,1,1,0,0
Assam,1,2005,Female,Sikh,0,0,0,0
Assam,1,2005,Male,Christian,183,338,1,0
Assam,1,2005,Male,Hindu,1956,2671,28,4
Assam,1,2005,Male,Muslim,1248,1817,2,0
Assam,1,2005,Male,Others,2,22,0,0
Assam,1,2005,Male,Sikh,8,19,0,0
Assam,1,2006,Female,Christian,10,13,0,0
Assam,1,2006,Female,Hindu,48,84,0,0
Assam,1,2006,Female,Muslim,25,58,0,0
Assam,1,2006,Female,Others,1,3,0,0
Assam,1,2006,Female,Sikh,0,1,0,0
Assam,1,2006,Male,Christian,171,405,0,0
Assam,1,2006,Male,Hindu,2162,2362,25,1
Assam,1,2006,Male,Muslim,1108,1833,2,1
Assam,1,2006,Male,Others,17,162,0,0
Assam,1,2006,Male,Sikh,7,39,0,0
Assam,1,2007,Female,Christian,7,12,0,0
Assam,1,2007,Female,Hindu,60,90,5,0
Assam,1,2007,Female,Muslim,32,44,0,0
Assam,1,2007,Female,Others,1,0,0,0
Assam,1,2007,Female,Sikh,0,0,0,0
Assam,1,2007,Male,Christian,213,395,3,0
Assam,1,2007,Male,Hindu,1998,2659,22,0
Assam,1,2007,Male,Muslim,1214,1802,5,0
Assam,1,2007,Male,Others,33,46,0,0
Assam,1,2007,Male,Sikh,22,42,0,0
Assam,1,2008,Female,Christian,6,17,0,0
Assam,1,2008,Female,Hindu,64,117,0,0
Assam,1,2008,Female,Muslim,28,81,0,0
Assam,1,2008,Female,Others,0,0,0,0
Assam,1,2008,Female,Sikh,0,0,0,0
Assam,1,2008,Male,Christian,229,320,1,0
Assam,1,2008,Male,Hindu,1944,2663,6,0
Assam,1,2008,Male,Muslim,1159,1751,3,0
Assam,1,2008,Male,Others,36,45,0,0
Assam,1,2008,Male,Sikh,28,244,0,0
Assam,1,2009,Female,Christian,6,10,0,0
Assam,1,2009,Female,Hindu,59,117,0,0
Assam,1,2009,Female,Muslim,27,78,2,0
Assam,1,2009,Female,Others,0,0,0,0
Assam,1,2009,Female,Sikh,0,0,0,0
Assam,1,2009,Male,Christian,228,384,1,0
Assam,1,2009,Male,Hindu,1783,2540,4,0
Assam,1,2009,Male,Muslim,1160,1386,2,0
Assam,1,2009,Male,Others,38,63,0,0
Assam,1,2009,Male,Sikh,26,246,0,0
Assam,1,2010,Female,Christian,9,12,0,0
Assam,1,2010,Female,Hindu,57,86,0,0
Assam,1,2010,Female,Muslim,32,74,0,0
Assam,1,2010,Female,Others,0,3,0,0
Assam,1,2010,Female,Sikh,0,0,0,0
Assam,1,2010,Male,Christian,215,303,0,0
Assam,1,2010,Male,Hindu,1917,2465,2,0
Assam,1,2010,Male,Muslim,925,1602,1,0
Assam,1,2010,Male,Others,89,95,0,0
Assam,1,2010,Male,Sikh,20,15,0,0
Assam,1,2011,Female,Christian,8,15,0,0
Assam,1,2011,Female,Hindu,52,102,0,0
Assam,1,2011,Female,Muslim,31,84,0,0
Assam,1,2011,Female,Others,0,6,0,0
Assam,1,2011,Female,Sikh,0,0,0,0
Assam,1,2011,Male,Christian,206,342,0,0
Assam,1,2011,Male,Hindu,1847,2595,0,0
Assam,1,2011,Male,Muslim,895,1762,0,0
Assam,1,2011,Male,Others,82,135,0,0
Assam,1,2011,Male,Sikh,16,25,0,0
Assam,1,2012,Female,Christian,8,16,0,0
Assam,1,2012,Female,Hindu,62,90,0,0
Assam,1,2012,Female,Muslim,38,70,0,0
Assam,1,2012,Female,Others,0,7,0,0
Assam,1,2012,Female,Sikh,0,0,0,0
Assam,1,2012,Male,Christian,192,351,0,0
Assam,1,2012,Male,Hindu,1870,2606,1,0
Assam,1,2012,Male,Muslim,902,1781,2,0
Assam,1,2012,Male,Others,72,142,0,0
Assam,1,2012,Male,Sikh,26,35,0,0
Assam,1,2013,Female,Christian,10,12,0,0
Assam,1,2013,Female,Hindu,62,113,0,0
Assam,1,2013,Female,Muslim,29,75,0,0
Assam,1,2013,Female,Others,0,5,0,0
Assam,1,2013,Female,Sikh,0,0,0,0
Assam,1,2013,Male,Christian,210,321,0,0
Assam,1,2013,Male,Hindu,1818,2642,2,2
Assam,1,2013,Male,Muslim,872,1871,3,0
Assam,1,2013,Male,Others,72,102,0,0
Assam,1,2013,Male,Sikh,20,22,0,0
Bihar,1,2001,Female,Christian,0,11,0,0
Bihar,1,2001,Female,Hindu,55,523,0,0
Bihar,1,2001,Female,Muslim,23,259,0,0
Bihar,1,2001,Female,Others,0,0,0,0
Bihar,1,2001,Female,Sikh,0,0,0,0
Bihar,1,2001,Male,Christian,30,471,0,0
Bihar,1,2001,Male,Hindu,3480,18842,11,28
Bihar,1,2001,Male,Muslim,1475,10606,1,9
Bihar,1,2001,Male,Others,2,65,0,0
Bihar,1,2001,Male,Sikh,0,16,0,0
Bihar,1,2002,Female,Christian,0,2,0,0
Bihar,1,2002,Female,Hindu,95,686,0,0
Bihar,1,2002,Female,Muslim,10,251,0,0
Bihar,1,2002,Female,Others,0,1,0,0
Bihar,1,2002,Female,Sikh,0,2,0,0
Bihar,1,2002,Male,Christian,92,186,0,0
Bihar,1,2002,Male,Hindu,4123,23401,30,88
Bihar,1,2002,Male,Muslim,666,7297,2,14
Bihar,1,2002,Male,Others,66,222,1,0
Bihar,1,2002,Male,Sikh,12,53,0,0
Bihar,1,2003,Female,Christian,0,2,0,0
Bihar,1,2003,Female,Hindu,74,753,0,0
Bihar,1,2003,Female,Muslim,10,176,0,0
Bihar,1,2003,Female,Others,20,12,0,0
Bihar,1,2003,Female,Sikh,0,2,0,0
Bihar,1,2003,Male,Christian,68,53,0,0
Bihar,1,2003,Male,Hindu,4111,24506,18,70
Bihar,1,2003,Male,Muslim,722,6038,4,14
Bihar,1,2003,Male,Others,70,502,0,5
Bihar,1,2003,Male,Sikh,3,90,0,0
Bihar,1,2004,Female,Christian,0,0,0,0
Bihar,1,2004,Female,Hindu,111,628,0,0
Bihar,1,2004,Female,Muslim,19,115,0,0
Bihar,1,2004,Female,Others,0,0,0,0
Bihar,1,2004,Female,Sikh,0,0,0,0
Bihar,1,2004,Male,Christian,74,86,0,0
Bihar,1,2004,Male,Hindu,4656,21649,58,103
Bihar,1,2004,Male,Muslim,622,4862,7,10
Bihar,1,2004,Male,Others,34,24,0,0
Bihar,1,2004,Male,Sikh,4,11,0,0
Bihar,1,2005,Female,Christian,12,23,0,0
Bihar,1,2005,Female,Hindu,90,957,0,0
Bihar,1,2005,Female,Muslim,22,213,0,0
Bihar,1,2005,Female,Others,0,0,0,0
Bihar,1,2005,Female,Sikh,0,5,0,0
Bihar,1,2005,Male,Christian,295,217,0,0
Bihar,1,2005,Male,Hindu,4537,31386,0,140
Bihar,1,2005,Male,Muslim,637,6858,0,50
Bihar,1,2005,Male,Others,0,0,0,0
Bihar,1,2005,Male,Sikh,16,360,0,0
Bihar,1,2006,Female,Christian,0,2,0,0
Bihar,1,2006,Female,Hindu,118,1048,0,0
Bihar,1,2006,Female,Muslim,26,216,0,0
Bihar,1,2006,Female,Others,5,2,0,0
Bihar,1,2006,Female,Sikh,0,1,0,0
Bihar,1,2006,Male,Christian,78,130,0,0
Bihar,1,2006,Male,Hindu,5724,29221,0,138
Bihar,1,2006,Male,Muslim,787,6635,0,3
Bihar,1,2006,Male,Others,10,6,0,0
Bihar,1,2006,Male,Sikh,17,114,0,0
Bihar,1,2007,Female,Christian,0,3,0,0
Bihar,1,2007,Female,Hindu,105,877,0,0
