state_name,is_state,year,gender,education,convicts,under_trial,detenues,others
A & N Islands,0,2011,Male,Holding technical degree/diploma etc,5,9,0,0
A & N Islands,0,2011,Male,Illiterate,35,70,0,0
A & N Islands,0,2011,Male,Post-Graduate,7,13,0,0
A & N Islands,0,2012,Female,Below Class X,0,5,0,0
A & N Islands,0,2012,Female,Class X and above but below graduate,0,4,0,0
A & N Islands,0,2012,Female,Graduate,0,0,0,0
A & N Islands,0,2012,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2012,Female,Illiterate,0,0,0,0
A & N Islands,0,2012,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2012,Male,Below Class X,419,215,0,0
A & N Islands,0,2012,Male,Class X and above but below graduate,231,85,0,0
A & N Islands,0,2012,Male,Graduate,11,3,0,0
A & N Islands,0,2012,Male,Holding technical degree/diploma etc,7,5,0,0
A & N Islands,0,2012,Male,Illiterate,89,47,0,0
A & N Islands,0,2012,Male,Post-Graduate,3,2,0,0
A & N Islands,0,2013,Female,Illiterate,0,0,0,0
A & N Islands,0,2013,Female,Below Class X,1,6,0,0
A & N Islands,0,2013,Female,Class X and above but below graduate,0,1,0,0
A & N Islands,0,2013,Female,Graduate,0,0,0,0
A & N Islands,0,2013,Female,Post-Graduate,0,0,0,0
A & N Islands,0,2013,Female,Holding technical degree/diploma etc,0,0,0,0
A & N Islands,0,2013,Male,Illiterate,11,3,0,0
A & N Islands,0,2013,Male,Below Class X,579,136,0,0
A & N Islands,0,2013,Male,Class X and above but below graduate,344,38,0,0
A & N Islands,0,2013,Male,Graduate,11,3,0,0
A & N Islands,0,2013,Male,Post-Graduate,3,2,0,0
A & N Islands,0,2013,Male,Holding technical degree/diploma etc,7,4,0,0
Andhra Pradesh,1,2001,Female,Below Class X,20,89,0,0
Andhra Pradesh,1,2001,Female,Class X and above but below graduate,0,26,0,0
Andhra Pradesh,1,2001,Female,Graduate,0,3,0,0
Andhra Pradesh,1,2001,Female,Holding technical degree/diploma etc,0,2,0,0
Andhra Pradesh,1,2001,Female,Illiterate,82,361,1,0
Andhra Pradesh,1,2001,Female,Post-Graduate,0,1,0,0
Andhra Pradesh,1,2001,Male,Below Class X,1729,2833,0,10
Andhra Pradesh,1,2001,Male,Class X and above but below graduate,532,1260,2,2
Andhra Pradesh,1,2001,Male,Graduate,299,272,0,2
Andhra Pradesh,1,2001,Male,Holding technical degree/diploma etc,46,164,1,0
Andhra Pradesh,1,2001,Male,Illiterate,1441,3794,1,8
Andhra Pradesh,1,2001,Male,Post-Graduate,72,37,0,0
Andhra Pradesh,1,2002,Female,Below Class X,54,74,0,0
Andhra Pradesh,1,2002,Female,Class X and above but below graduate,4,16,0,0
Andhra Pradesh,1,2002,Female,Graduate,0,2,0,0
Andhra Pradesh,1,2002,Female,Holding technical degree/diploma etc,0,1,0,0
Andhra Pradesh,1,2002,Female,Illiterate,93,464,0,0
Andhra Pradesh,1,2002,Female,Post-Graduate,0,0,0,0
Andhra Pradesh,1,2002,Male,Below Class X,1879,2882,0,0
Andhra Pradesh,1,2002,Male,Class X and above but below graduate,647,1150,2,0
Andhra Pradesh,1,2002,Male,Graduate,189,181,0,0
Andhra Pradesh,1,2002,Male,Holding technical degree/diploma etc,54,95,0,0
Andhra Pradesh,1,2002,Male,Illiterate,1931,3649,0,0
Andhra Pradesh,1,2002,Male,Post-Graduate,21,35,0,0
Andhra Pradesh,1,2003,Female,Below Class X,69,133,0,0
Andhra Pradesh,1,2003,Female,Class X and above but below graduate,10,37,0,0
Andhra Pradesh,1,2003,Female,Graduate,1,6,0,0
Andhra Pradesh,1,2003,Female,Holding technical degree/diploma etc,0,0,0,0
Andhra Pradesh,1,2003,Female,Illiterate,91,365,0,0
Andhra Pradesh,1,2003,Female,Post-Graduate,1,0,0,0
Andhra Pradesh,1,2003,Male,Below Class X,2317,3507,6,0
Andhra Pradesh,1,2003,Male,Class X and above but below graduate,736,1178,3,0
Andhra Pradesh,1,2003,Male,Graduate,210,303,2,0
Andhra Pradesh,1,2003,Male,Holding technical degree/diploma etc,27,82,0,0
Andhra Pradesh,1,2003,Male,Illiterate,1653,3242,7,0
Andhra Pradesh,1,2003,Male,Post-Graduate,32,66,0,0
Andhra Pradesh,1,2004,Female,Below Class X,50,145,0,0
Andhra Pradesh,1,2004,Female,Class X and above but below graduate,1,23,0,0
Andhra Pradesh,1,2004,Female,Graduate,3,7,0,0
Andhra Pradesh,1,2004,Female,Holding technical degree/diploma etc,0,0,0,0
Andhra Pradesh,1,2004,Female,Illiterate,143,404,9,0
Andhra Pradesh,1,2004,Female,Post-Graduate,0,0,0,0
Andhra Pradesh,1,2004,Male,Below Class X,2084,3463,9,0
Andhra Pradesh,1,2004,Male,Class X and above but below graduate,645,1089,8,0
Andhra Pradesh,1,2004,Male,Graduate,162,301,2,0
Andhra Pradesh,1,2004,Male,Holding technical degree/diploma etc,30,54,0,0
Andhra Pradesh,1,2004,Male,Illiterate,1616,3546,10,0
Andhra Pradesh,1,2004,Male,Post-Graduate,31,46,0,0
Andhra Pradesh,1,2005,Female,Below Class X,69,233,0,0
Andhra Pradesh,1,2005,Female,Class X and above but below graduate,1,26,0,0
Andhra Pradesh,1,2005,Female,Graduate,2,6,0,0
Andhra Pradesh,1,2005,Female,Holding technical degree/diploma etc,0,0,0,0
Andhra Pradesh,1,2005,Female,Illiterate,126,421,0,0
Andhra Pradesh,1,2005,Female,Post-Graduate,0,0,0,0
Andhra Pradesh,1,2005,Male,Below Class X,2271,4056,2,0
Andhra Pradesh,1,2005,Male,Class X and above but below graduate,701,1112,1,0
Andhra Pradesh,1,2005,Male,Graduate,181,322,1,0
Andhra Pradesh,1,2005,Male,Holding technical degree/diploma etc,33,58,0,0
Andhra Pradesh,1,2005,Male,Illiterate,1592,3320,6,0
Andhra Pradesh,1,2005,Male,Post-Graduate,35,38,0,0
Andhra Pradesh,1,2006,Female,Below Class X,61,132,1,0
Andhra Pradesh,1,2006,Female,Class X and above but below graduate,6,21,0,0
Andhra Pradesh,1,2006,Female,Graduate,7,2,0,0
Andhra Pradesh,1,2006,Female,Holding technical degree/diploma etc,1,0,0,0
Andhra Pradesh,1,2006,Female,Illiterate,132,482,0,0
Andhra Pradesh,1,2006,Female,Post-Graduate,0,0,0,0
Andhra Pradesh,1,2006,Male,Below Class X,2202,3653,16,23
Andhra Pradesh,1,2006,Male,Class X and above but below graduate,818,1429,0,3
Andhra Pradesh,1,2006,Male,Graduate,167,304,0,1
Andhra Pradesh,1,2006,Male,Holding technical degree/diploma etc,141,101,0,0
Andhra Pradesh,1,2006,Male,Illiterate,1700,3908,1,5
Andhra Pradesh,1,2006,Male,Post-Graduate,52,50,0,2
Andhra Pradesh,1,2007,Female,Below Class X,52,132,0,0
Andhra Pradesh,1,2007,Female,Class X and above but below graduate,18,23,0,0
Andhra Pradesh,1,2007,Female,Graduate,6,8,0,0
Andhra Pradesh,1,2007,Female,Holding technical degree/diploma etc,1,6,0,0
Andhra Pradesh,1,2007,Female,Illiterate,155,466,0,0
Andhra Pradesh,1,2007,Female,Post-Graduate,0,0,0,0
Andhra Pradesh,1,2007,Male,Below Class X,2478,4034,11,11
Andhra Pradesh,1,2007,Male,Class X and above but below graduate,1019,957,5,6
Andhra Pradesh,1,2007,Male,Graduate,189,221,0,0
Andhra Pradesh,1,2007,Male,Holding technical degree/diploma etc,166,154,0,0
Andhra Pradesh,1,2007,Male,Illiterate,1420,3386,5,3
Andhra Pradesh,1,2007,Male,Post-Graduate,55,58,0,0
Andhra Pradesh,1,2008,Female,Below Class X,55,150,0,0
Andhra Pradesh,1,2008,Female,Class X and above but below graduate,14,38,0,0
Andhra Pradesh,1,2008,Female,Graduate,8,4,0,0
Andhra Pradesh,1,2008,Female,Holding technical degree/diploma etc,1,1,0,0
Andhra Pradesh,1,2008,Female,Illiterate,144,458,0,0
Andhra Pradesh,1,2008,Female,Post-Graduate,1,0,0,0
Andhra Pradesh,1,2008,Male,Below Class X,2489,3640,5,5
Andhra Pradesh,1,2008,Male,Class X and above but below graduate,832,1190,9,3
Andhra Pradesh,1,2008,Male,Graduate,323,238,2,0
Andhra Pradesh,1,2008,Male,Holding technical degree/diploma etc,41,88,0,0
Andhra Pradesh,1,2008,Male,Illiterate,1370,2820,5,4
Andhra Pradesh,1,2008,Male,Post-Graduate,100,42,0,0
Andhra Pradesh,1,2009,Female,Below Class X,58,143,1,0
Andhra Pradesh,1,2009,Female,Class X and above but below graduate,16,45,0,0
Andhra Pradesh,1,2009,Female,Graduate,13,6,0,0
Andhra Pradesh,1,2009,Female,Holding technical degree/diploma etc,0,2,0,0
Andhra Pradesh,1,2009,Female,Illiterate,108,378,1,0
Andhra Pradesh,1,2009,Female,Post-Graduate,2,3,0,0
Andhra Pradesh,1,2009,Male,Below Class X,2073,2926,29,11
Andhra Pradesh,1,2009,Male,Class X and above but below graduate,799,1218,7,0
Andhra Pradesh,1,2009,Male,Graduate,286,447,0,0
Andhra Pradesh,1,2009,Male,Holding technical degree/diploma etc,26,114,0,0
Andhra Pradesh,1,2009,Male,Illiterate,1079,2825,2,4
Andhra Pradesh,1,2009,Male,Post-Graduate,76,110,0,0
Andhra Pradesh,1,2010,Female,Below Class X,77,151,0,0
Andhra Pradesh,1,2010,Female,Class X and above but below graduate,22,28,0,0
Andhra Pradesh,1,2010,Female,Graduate,4,8,0,0
Andhra Pradesh,1,2010,Female,Holding technical degree/diploma etc,0,1,0,0
Andhra Pradesh,1,2010,Female,Illiterate,127,356,2,0
Andhra Pradesh,1,2010,Female,Post-Graduate,1,2,0,0
Andhra Pradesh,1,2010,Male,Below Class X,1546,2923,21,5
Andhra Pradesh,1,2010,Male,Class X and above but below graduate,786,1030,0,0
Andhra Pradesh,1,2010,Male,Graduate,387,261,0,0
Andhra Pradesh,1,2010,Male,Holding technical degree/diploma etc,110,144,2,1
Andhra Pradesh,1,2010,Male,Illiterate,1638,2693,5,7
Andhra Pradesh,1,2010,Male,Post-Graduate,100,52,0,0
Andhra Pradesh,1,2011,Female,Below Class X,40,165,0,0
Andhra Pradesh,1,2011,Female,Class X and above but below graduate,27,37,0,0
Andhra Pradesh,1,2011,Female,Graduate,2,6,0,0
Andhra Pradesh,1,2011,Female,Holding technical degree/diploma etc,0,0,0,0
Andhra Pradesh,1,2011,Female,Illiterate,191,371,1,0
Andhra Pradesh,1,2011,Female,Post-Graduate,1,1,0,0
Andhra Pradesh,1,2011,Male,Below Class X,1660,3682,9,13
Andhra Pradesh,1,2011,Male,Class X and above but below graduate,803,1264,2,2
Andhra Pradesh,1,2011,Male,Graduate,196,294,0,0
Andhra Pradesh,1,2011,Male,Holding technical degree/diploma etc,91,84,0,0
Andhra Pradesh,1,2011,Male,Illiterate,1579,2562,2,2
Andhra Pradesh,1,2011,Male,Post-Graduate,48,78,0,0
Andhra Pradesh,1,2012,Female,Below Class X,51,157,0,0
Andhra Pradesh,1,2012,Female,Class X and above but below graduate,14,39,0,0
Andhra Pradesh,1,2012,Female,Graduate,4,7,0,0
Andhra Pradesh,1,2012,Female,Holding technical degree/diploma etc,0,1,0,0
Andhra Pradesh,1,2012,Female,Illiterate,215,432,1,1
Andhra Pradesh,1,2012,Female,Post-Graduate,1,1,0,0
Andhra Pradesh,1,2012,Male,Below Class X,1699,3295,1,5
Andhra Pradesh,1,2012,Male,Class X and above but below graduate,795,1363,2,2
Andhra Pradesh,1,2012,Male,Graduate,313,422,0,0
Andhra Pradesh,1,2012,Male,Holding technical degree/diploma etc,61,134,0,0
Andhra Pradesh,1,2012,Male,Illiterate,1506,2556,0,0
Andhra Pradesh,1,2012,Male,Post-Graduate,63,144,0,0
Andhra Pradesh,1,2013,Female,Illiterate,212,423,1,0
Andhra Pradesh,1,2013,Female,Below Class X,44,128,0,0
Andhra Pradesh,1,2013,Female,Class X and above but below graduate,11,50,0,0
Andhra Pradesh,1,2013,Female,Graduate,21,8,0,0
Andhra Pradesh,1,2013,Female,Post-Graduate,1,0,0,0
Andhra Pradesh,1,2013,Female,Holding technical degree/diploma etc,0,0,0,0
Andhra Pradesh,1,2013,Male,Illiterate,1580,3215,0,1
Andhra Pradesh,1,2013,Male,Below Class X,1675,3429,0,5
Andhra Pradesh,1,2013,Male,Class X and above but below graduate,784,1693,6,1
Andhra Pradesh,1,2013,Male,Graduate,172,445,0,0
Andhra Pradesh,1,2013,Male,Post-Graduate,52,151,0,0
Andhra Pradesh,1,2013,Male,Holding technical degree/diploma etc,46,159,0,0
Arunachal Pradesh,1,2009,Female,Below Class X,0,0,0,0
Arunachal Pradesh,1,2009,Female,Class X and above but below graduate,0,1,0,0
Arunachal Pradesh,1,2009,Female,Graduate,0,0,0,0
Arunachal Pradesh,1,2009,Female,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2009,Female,Illiterate,0,3,0,0
Arunachal Pradesh,1,2009,Female,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2009,Male,Below Class X,1,28,0,0
Arunachal Pradesh,1,2009,Male,Class X and above but below graduate,0,11,0,0
Arunachal Pradesh,1,2009,Male,Graduate,1,1,0,0
Arunachal Pradesh,1,2009,Male,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2009,Male,Illiterate,0,16,0,0
Arunachal Pradesh,1,2009,Male,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2010,Female,Below Class X,0,1,0,0
Arunachal Pradesh,1,2010,Female,Class X and above but below graduate,0,2,0,0
Arunachal Pradesh,1,2010,Female,Graduate,0,0,0,0
Arunachal Pradesh,1,2010,Female,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2010,Female,Illiterate,0,1,0,0
Arunachal Pradesh,1,2010,Female,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2010,Male,Below Class X,1,32,0,0
Arunachal Pradesh,1,2010,Male,Class X and above but below graduate,1,8,0,0
Arunachal Pradesh,1,2010,Male,Graduate,0,1,0,0
Arunachal Pradesh,1,2010,Male,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2010,Male,Illiterate,2,7,0,0
Arunachal Pradesh,1,2010,Male,Post-Graduate,1,0,0,0
Arunachal Pradesh,1,2011,Female,Below Class X,0,2,0,0
Arunachal Pradesh,1,2011,Female,Class X and above but below graduate,0,1,0,0
Arunachal Pradesh,1,2011,Female,Graduate,0,0,0,0
Arunachal Pradesh,1,2011,Female,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2011,Female,Illiterate,0,2,0,0
Arunachal Pradesh,1,2011,Female,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2011,Male,Below Class X,5,26,0,0
Arunachal Pradesh,1,2011,Male,Class X and above but below graduate,0,3,0,0
Arunachal Pradesh,1,2011,Male,Graduate,0,1,0,0
Arunachal Pradesh,1,2011,Male,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2011,Male,Illiterate,0,14,0,0
Arunachal Pradesh,1,2011,Male,Post-Graduate,1,0,0,0
Arunachal Pradesh,1,2012,Female,Below Class X,0,2,0,0
Arunachal Pradesh,1,2012,Female,Class X and above but below graduate,0,0,0,0
Arunachal Pradesh,1,2012,Female,Graduate,0,0,0,0
Arunachal Pradesh,1,2012,Female,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2012,Female,Illiterate,0,2,0,0
Arunachal Pradesh,1,2012,Female,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2012,Male,Below Class X,4,25,0,0
Arunachal Pradesh,1,2012,Male,Class X and above but below graduate,0,13,0,0
Arunachal Pradesh,1,2012,Male,Graduate,0,1,0,0
Arunachal Pradesh,1,2012,Male,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2012,Male,Illiterate,0,24,0,0
Arunachal Pradesh,1,2012,Male,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2013,Female,Illiterate,1,1,0,0
Arunachal Pradesh,1,2013,Female,Below Class X,0,0,0,0
Arunachal Pradesh,1,2013,Female,Class X and above but below graduate,0,0,0,0
Arunachal Pradesh,1,2013,Female,Graduate,0,0,0,0
Arunachal Pradesh,1,2013,Female,Post-Graduate,0,0,0,0
Arunachal Pradesh,1,2013,Female,Holding technical degree/diploma etc,0,0,0,0
Arunachal Pradesh,1,2013,Male,Illiterate,6,22,0,0
Arunachal Pradesh,1,2013,Male,Below Class X,1,26,0,0
Arunachal Pradesh,1,2013,Male,Class X and above but below graduate,3,25,0,0
Arunachal Pradesh,1,2013,Male,Graduate,0,6,0,0
Arunachal Pradesh,1,2013,Male,Post-Graduate,0,1,0,0
Arunachal Pradesh,1,2013,Male,Holding technical degree/diploma etc,0,0,0,0
Assam,1,2001,Female,Below Class X,23,40,0,0
Assam,1,2001,Female,Class X and above but below graduate,6,17,0,0
Assam,1,2001,Female,Graduate,0,0,0,0
Assam,1,2001,Female,Holding technical degree/diploma etc,0,0,0,0
Assam,1,2001,Female,Illiterate,18,70,0,0
Assam,1,2001,Female,Post-Graduate,0,0,0,0
Assam,1,2001,Male,Below Class X,1172,1567,4,0
Assam,1,2001,Male,Class X and above but below graduate,352,557,8,0
Assam,1,2001,Male,Graduate,44,62,3,0
Assam,1,2001,Male,Holding technical degree/diploma etc,4,5,0,0
Assam,1,2001,Male,Illiterate,782,1747,1,1
Assam,1,2001,Male,Post-Graduate,2,0,0,0
Assam,1,2002,Female,Below Class X,25,63,0,0
Assam,1,2002,Female,Class X and above but below graduate,5,9,0,0
Assam,1,2002,Female,Graduate,0,0,0,0
Assam,1,2002,Female,Holding technical degree/diploma etc,0,0,0,0
Assam,1,2002,Female,Illiterate,24,41,0,0
Assam,1,2002,Female,Post-Graduate,0,0,0,0
Assam,1,2002,Male,Below Class X,1389,1790,7,0
Assam,1,2002,Male,Class X and above but below graduate,366,579,11,0
Assam,1,2002,Male,Graduate,40,82,0,0
Assam,1,2002,Male,Holding technical degree/diploma etc,4,10,0,0
Assam,1,2002,Male,Illiterate,874,1737,0,0
Assam,1,2002,Male,Post-Graduate,3,8,0,0
Assam,1,2003,Female,Below Class X,30,51,0,0
Assam,1,2003,Female,Class X and above but below graduate,4,17,2,0
Assam,1,2003,Female,Graduate,0,6,0,0
Assam,1,2003,Female,Holding technical degree/diploma etc,0,1,0,0
Assam,1,2003,Female,Illiterate,38,61,0,0
Assam,1,2003,Female,Post-Graduate,0,1,0,0
Assam,1,2003,Male,Below Class X,1369,1536,4,0
Assam,1,2003,Male,Class X and above but below graduate,455,910,21,0
Assam,1,2003,Male,Graduate,32,141,4,0
Assam,1,2003,Male,Holding technical degree/diploma etc,6,4,0,0
Assam,1,2003,Male,Illiterate,1143,1795,0,3
Assam,1,2003,Male,Post-Graduate,3,0,0,0
Assam,1,2004,Female,Below Class X,39,44,7,0
Assam,1,2004,Female,Class X and above but below graduate,6,21,26,0
Assam,1,2004,Female,Graduate,0,3,6,0
Assam,1,2004,Female,Holding technical degree/diploma etc,0,0,0,0
Assam,1,2004,Female,Illiterate,32,66,1,0
Assam,1,2004,Female,Post-Graduate,0,0,0,0
Assam,1,2004,Male,Below Class X,1704,1645,60,3
Assam,1,2004,Male,Class X and above but below graduate,331,851,123,1
Assam,1,2004,Male,Graduate,42,132,29,1
Assam,1,2004,Male,Holding technical degree/diploma etc,11,2,0,0
Assam,1,2004,Male,Illiterate,1099,1534,3,2
Assam,1,2004,Male,Post-Graduate,4,0,0,0
Assam,1,2005,Female,Below Class X,36,60,0,0
Assam,1,2005,Female,Class X and above but below graduate,5,7,3,0
Assam,1,2005,Female,Graduate,0,1,0,0
Assam,1,2005,Female,Holding technical degree/diploma etc,0,0,0,0
