state_name,is_state,year,gender,sentence_period,age_16_18_years,age_18_30_years,age_30_50_years,age_50_above
Andhra Pradesh,1,2004,Male,5-6 Plus years,0,99,93,36
Andhra Pradesh,1,2004,Male,2-4 Plus years,0,135,108,50
Andhra Pradesh,1,2004,Male,1 Less than 2 years,0,101,140,10
Andhra Pradesh,1,2004,Male,6 months less than 1 Yr.,0,128,147,56
Andhra Pradesh,1,2004,Male,3 - 6 months,0,96,134,32
Andhra Pradesh,1,2004,Male,Less than 3 months,0,119,150,16
Andhra Pradesh,1,2005,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2005,Male,Life Imprisonment,0,861,1726,271
Andhra Pradesh,1,2005,Male,10-13 Plus years,0,42,73,18
Andhra Pradesh,1,2005,Male,7-9 Plus years,0,102,149,11
Andhra Pradesh,1,2005,Male,5-6 Plus years,1,99,170,19
Andhra Pradesh,1,2005,Male,2-4 Plus years,1,111,159,25
Andhra Pradesh,1,2005,Male,1 Less than 2 years,0,110,126,23
Andhra Pradesh,1,2005,Male,6 months less than 1 Yr.,0,143,117,21
Andhra Pradesh,1,2005,Male,3 - 6 months,0,118,98,11
Andhra Pradesh,1,2005,Male,Less than 3 months,0,109,96,3
Andhra Pradesh,1,2006,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2006,Male,Life Imprisonment,0,794,1897,289
Andhra Pradesh,1,2006,Male,10-13 Plus years,0,65,154,29
Andhra Pradesh,1,2006,Male,7-9 Plus years,0,68,162,20
Andhra Pradesh,1,2006,Male,5-6 Plus years,0,102,146,22
Andhra Pradesh,1,2006,Male,2-4 Plus years,0,121,143,35
Andhra Pradesh,1,2006,Male,1 Less than 2 years,0,123,133,45
Andhra Pradesh,1,2006,Male,6 months less than 1 Yr.,0,126,124,28
Andhra Pradesh,1,2006,Male,3 - 6 months,0,120,90,34
Andhra Pradesh,1,2006,Male,Less than 3 months,0,90,94,26
Andhra Pradesh,1,2007,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2007,Male,Life Imprisonment,0,979,1902,382
Andhra Pradesh,1,2007,Male,10-13 Plus years,0,53,60,12
Andhra Pradesh,1,2007,Male,7-9 Plus years,0,78,105,30
Andhra Pradesh,1,2007,Male,5-6 Plus years,0,79,63,27
Andhra Pradesh,1,2007,Male,2-4 Plus years,0,184,172,46
Andhra Pradesh,1,2007,Male,1 Less than 2 years,0,172,128,30
Andhra Pradesh,1,2007,Male,6 months less than 1 Yr.,0,197,121,33
Andhra Pradesh,1,2007,Male,3 - 6 months,0,157,131,22
Andhra Pradesh,1,2007,Male,Less than 3 months,0,81,71,12
Andhra Pradesh,1,2008,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2008,Male,Life Imprisonment,0,1053,1942,440
Andhra Pradesh,1,2008,Male,10-13 Plus years,0,41,55,9
Andhra Pradesh,1,2008,Male,7-9 Plus years,0,68,117,14
Andhra Pradesh,1,2008,Male,5-6 Plus years,0,73,128,31
Andhra Pradesh,1,2008,Male,2-4 Plus years,0,65,113,12
Andhra Pradesh,1,2008,Male,1 Less than 2 years,0,129,131,21
Andhra Pradesh,1,2008,Male,6 months less than 1 Yr.,0,133,114,17
Andhra Pradesh,1,2008,Male,3 - 6 months,0,115,153,17
Andhra Pradesh,1,2008,Male,Less than 3 months,0,85,70,9
Andhra Pradesh,1,2009,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2009,Male,Life Imprisonment,0,842,1526,226
Andhra Pradesh,1,2009,Male,10-13 Plus years,0,80,76,16
Andhra Pradesh,1,2009,Male,7-9 Plus years,0,95,128,14
Andhra Pradesh,1,2009,Male,5-6 Plus years,0,91,91,8
Andhra Pradesh,1,2009,Male,2-4 Plus years,0,126,137,20
Andhra Pradesh,1,2009,Male,1 Less than 2 years,0,128,123,19
Andhra Pradesh,1,2009,Male,6 months less than 1 Yr.,0,114,115,15
Andhra Pradesh,1,2009,Male,3 - 6 months,0,82,80,13
Andhra Pradesh,1,2009,Male,Less than 3 months,0,84,84,6
Andhra Pradesh,1,2010,Male,Capital Punishment,0,0,0,0
Andhra Pradesh,1,2010,Male,Life Imprisonment,0,990,1593,230
Andhra Pradesh,1,2010,Male,10-13 Plus years,0,51,71,16
Andhra Pradesh,1,2010,Male,7-9 Plus years,0,90,91,32
Andhra Pradesh,1,2010,Male,5-6 Plus years,0,95,105,23
Andhra Pradesh,1,2010,Male,2-4 Plus years,0,116,105,24
Andhra Pradesh,1,2010,Male,1 Less than 2 years,0,140,119,22
Andhra Pradesh,1,2010,Male,6 months less than 1 Yr.,0,136,119,13
Andhra Pradesh,1,2010,Male,3 - 6 months,0,133,113,12
Andhra Pradesh,1,2010,Male,Less than 3 months,0,69,53,6
Andhra Pradesh,1,2011,Male,Capital Punishment,0,1,2,0
Andhra Pradesh,1,2011,Male,Life Imprisonment,0,841,1585,421
Andhra Pradesh,1,2011,Male,10-13 Plus years,0,10,50,15
Andhra Pradesh,1,2011,Male,7-9 Plus years,0,76,64,13
Andhra Pradesh,1,2011,Male,5-6 Plus years,0,67,49,31
Andhra Pradesh,1,2011,Male,2-4 Plus years,0,70,107,13
Andhra Pradesh,1,2011,Male,1 Less than 2 years,0,96,91,41
Andhra Pradesh,1,2011,Male,6 months less than 1 Yr.,0,106,70,51
Andhra Pradesh,1,2011,Male,3 - 6 months,0,120,95,23
Andhra Pradesh,1,2011,Male,Less than 3 months,0,89,157,23
Andhra Pradesh,1,2012,Male,Capital Punishment,0,3,2,0
Andhra Pradesh,1,2012,Male,Life Imprisonment,0,969,1738,408
Andhra Pradesh,1,2012,Male,10-13 Plus years,0,44,63,12
Andhra Pradesh,1,2012,Male,7-9 Plus years,0,23,73,12
Andhra Pradesh,1,2012,Male,5-6 Plus years,0,47,68,12
Andhra Pradesh,1,2012,Male,2-4 Plus years,0,88,95,34
Andhra Pradesh,1,2012,Male,1 Less than 2 years,0,87,86,26
Andhra Pradesh,1,2012,Male,6 months less than 1 Yr.,0,104,86,22
Andhra Pradesh,1,2012,Male,3 - 6 months,0,106,72,31
Andhra Pradesh,1,2012,Male,Less than 3 months,0,55,57,14
Arunachal Pradesh,1,2009,Male,Capital Punishment,0,0,0,0
Arunachal Pradesh,1,2009,Male,Life Imprisonment,0,0,0,0
Arunachal Pradesh,1,2009,Male,10-13 Plus years,0,0,0,0
Arunachal Pradesh,1,2009,Male,7-9 Plus years,0,1,0,1
Arunachal Pradesh,1,2009,Male,5-6 Plus years,0,0,0,0
Arunachal Pradesh,1,2009,Male,2-4 Plus years,0,0,0,0
Arunachal Pradesh,1,2009,Male,1 Less than 2 years,0,0,0,0
Arunachal Pradesh,1,2009,Male,6 months less than 1 Yr.,0,0,0,0
Arunachal Pradesh,1,2009,Male,3 - 6 months,0,0,0,0
Arunachal Pradesh,1,2009,Male,Less than 3 months,0,0,0,0
Arunachal Pradesh,1,2010,Male,Capital Punishment,0,0,0,0
Arunachal Pradesh,1,2010,Male,Life Imprisonment,0,0,0,0
Arunachal Pradesh,1,2010,Male,10-13 Plus years,0,0,0,0
Arunachal Pradesh,1,2010,Male,7-9 Plus years,0,0,0,0
Arunachal Pradesh,1,2010,Male,5-6 Plus years,0,0,0,0
Arunachal Pradesh,1,2010,Male,2-4 Plus years,0,2,0,1
Arunachal Pradesh,1,2010,Male,1 Less than 2 years,0,0,0,0
Arunachal Pradesh,1,2010,Male,6 months less than 1 Yr.,0,2,0,0
Arunachal Pradesh,1,2010,Male,3 - 6 months,0,0,0,0
Arunachal Pradesh,1,2010,Male,Less than 3 months,0,0,0,0
Arunachal Pradesh,1,2011,Male,Capital Punishment,0,0,0,0
Arunachal Pradesh,1,2011,Male,Life Imprisonment,0,0,1,0
Arunachal Pradesh,1,2011,Male,10-13 Plus years,0,0,0,0
Arunachal Pradesh,1,2011,Male,7-9 Plus years,0,1,1,0
Arunachal Pradesh,1,2011,Male,5-6 Plus years,0,0,0,0
Arunachal Pradesh,1,2011,Male,2-4 Plus years,0,2,0,1
Arunachal Pradesh,1,2011,Male,1 Less than 2 years,0,0,0,0
Arunachal Pradesh,1,2011,Male,6 months less than 1 Yr.,0,0,0,0
Arunachal Pradesh,1,2011,Male,3 - 6 months,0,0,0,0
Arunachal Pradesh,1,2011,Male,Less than 3 months,0,0,0,0
Arunachal Pradesh,1,2012,Male,Capital Punishment,0,0,0,0
Arunachal Pradesh,1,2012,Male,Life Imprisonment,0,0,0,0
Arunachal Pradesh,1,2012,Male,10-13 Plus years,0,2,1,0
Arunachal Pradesh,1,2012,Male,7-9 Plus years,0,1,0,0
Arunachal Pradesh,1,2012,Male,5-6 Plus years,0,0,0,0
Arunachal Pradesh,1,2012,Male,2-4 Plus years,0,0,0,0
Arunachal Pradesh,1,2012,Male,1 Less than 2 years,0,0,0,0
Arunachal Pradesh,1,2012,Male,6 months less than 1 Yr.,0,0,0,0
Arunachal Pradesh,1,2012,Male,3 - 6 months,0,0,0,0
Arunachal Pradesh,1,2012,Male,Less than 3 months,0,0,0,0
Assam,1,2001,Male,Capital Punishment,0,1,0,0
Assam,1,2001,Male,Life Imprisonment,6,260,1077,171
Assam,1,2001,Male,10-13 Plus years,0,52,68,18
Assam,1,2001,Male,7-9 Plus years,0,65,101,12
Assam,1,2001,Male,5-6 Plus years,2,54,92,14
Assam,1,2001,Male,2-4 Plus years,1,59,78,14
Assam,1,2001,Male,1 Less than 2 years,0,20,28,0
Assam,1,2001,Male,6 months less than 1 Yr.,0,22,27,3
Assam,1,2001,Male,3 - 6 months,0,13,31,2
Assam,1,2001,Male,Less than 3 months,0,12,35,18
Assam,1,2002,Male,Capital Punishment,0,1,3,0
Assam,1,2002,Male,Life Imprisonment,8,521,903,192
Assam,1,2002,Male,10-13 Plus years,1,93,84,17
Assam,1,2002,Male,7-9 Plus years,0,55,94,16
Assam,1,2002,Male,5-6 Plus years,1,41,83,7
Assam,1,2002,Male,2-4 Plus years,2,47,59,15
Assam,1,2002,Male,1 Less than 2 years,8,35,42,3
Assam,1,2002,Male,6 months less than 1 Yr.,5,19,47,1
Assam,1,2002,Male,3 - 6 months,2,25,78,2
Assam,1,2002,Male,Less than 3 months,0,15,151,0
Assam,1,2003,Male,Capital Punishment,0,2,3,1
Assam,1,2003,Male,Life Imprisonment,6,471,1003,252
Assam,1,2003,Male,10-13 Plus years,2,94,237,43
Assam,1,2003,Male,7-9 Plus years,1,78,167,19
Assam,1,2003,Male,5-6 Plus years,1,72,143,14
Assam,1,2003,Male,2-4 Plus years,0,63,108,13
Assam,1,2003,Male,1 Less than 2 years,2,35,42,8
Assam,1,2003,Male,6 months less than 1 Yr.,3,25,26,3
Assam,1,2003,Male,3 - 6 months,2,20,21,4
Assam,1,2003,Male,Less than 3 months,0,6,18,0
Assam,1,2004,Male,Capital Punishment,0,1,2,0
Assam,1,2004,Male,Life Imprisonment,0,506,1028,418
Assam,1,2004,Male,10-13 Plus years,0,62,175,116
Assam,1,2004,Male,7-9 Plus years,0,79,135,71
Assam,1,2004,Male,5-6 Plus years,1,82,100,25
Assam,1,2004,Male,2-4 Plus years,0,52,77,20
Assam,1,2004,Male,1 Less than 2 years,1,26,44,16
Assam,1,2004,Male,6 months less than 1 Yr.,0,23,34,4
Assam,1,2004,Male,3 - 6 months,3,25,30,5
Assam,1,2004,Male,Less than 3 months,0,11,18,1
Assam,1,2005,Male,Capital Punishment,0,6,2,2
Assam,1,2005,Male,Life Imprisonment,0,543,1085,367
Assam,1,2005,Male,10-13 Plus years,0,93,189,70
Assam,1,2005,Male,7-9 Plus years,4,120,194,29
Assam,1,2005,Male,5-6 Plus years,1,90,158,28
Assam,1,2005,Male,2-4 Plus years,0,59,84,14
Assam,1,2005,Male,1 Less than 2 years,1,28,64,4
Assam,1,2005,Male,6 months less than 1 Yr.,1,15,47,4
Assam,1,2005,Male,3 - 6 months,1,18,32,4
Assam,1,2005,Male,Less than 3 months,0,16,24,0
Assam,1,2006,Male,Capital Punishment,0,3,3,3
Assam,1,2006,Male,Life Imprisonment,0,696,1104,242
Assam,1,2006,Male,10-13 Plus years,0,89,120,34
Assam,1,2006,Male,7-9 Plus years,0,126,169,62
Assam,1,2006,Male,5-6 Plus years,0,90,165,51
Assam,1,2006,Male,2-4 Plus years,0,73,120,35
Assam,1,2006,Male,1 Less than 2 years,0,59,57,13
Assam,1,2006,Male,6 months less than 1 Yr.,0,31,34,5
Assam,1,2006,Male,3 - 6 months,0,12,27,2
Assam,1,2006,Male,Less than 3 months,0,19,19,2
Assam,1,2007,Male,Capital Punishment,0,1,2,1
Assam,1,2007,Male,Life Imprisonment,0,667,1282,306
Assam,1,2007,Male,10-13 Plus years,0,91,183,44
Assam,1,2007,Male,7-9 Plus years,0,117,129,26
Assam,1,2007,Male,5-6 Plus years,0,79,121,25
Assam,1,2007,Male,2-4 Plus years,0,73,77,15
Assam,1,2007,Male,1 Less than 2 years,0,45,45,5
Assam,1,2007,Male,6 months less than 1 Yr.,0,29,21,11
Assam,1,2007,Male,3 - 6 months,0,22,19,11
Assam,1,2007,Male,Less than 3 months,0,10,23,0
Assam,1,2008,Male,Capital Punishment,0,2,3,1
Assam,1,2008,Male,Life Imprisonment,0,562,1260,289
Assam,1,2008,Male,10-13 Plus years,0,144,150,40
Assam,1,2008,Male,7-9 Plus years,0,219,152,52
Assam,1,2008,Male,5-6 Plus years,0,66,101,28
Assam,1,2008,Male,2-4 Plus years,0,64,85,17
Assam,1,2008,Male,1 Less than 2 years,0,19,39,6
Assam,1,2008,Male,6 months less than 1 Yr.,0,21,17,8
Assam,1,2008,Male,3 - 6 months,0,11,16,7
Assam,1,2008,Male,Less than 3 months,0,8,7,2
Assam,1,2009,Male,Capital Punishment,0,2,3,2
Assam,1,2009,Male,Life Imprisonment,0,468,1064,291
Assam,1,2009,Male,10-13 Plus years,0,120,206,62
Assam,1,2009,Male,7-9 Plus years,0,209,156,72
Assam,1,2009,Male,5-6 Plus years,0,56,119,69
Assam,1,2009,Male,2-4 Plus years,0,42,64,18
Assam,1,2009,Male,1 Less than 2 years,0,32,36,6
Assam,1,2009,Male,6 months less than 1 Yr.,0,28,26,5
Assam,1,2009,Male,3 - 6 months,0,20,34,0
Assam,1,2009,Male,Less than 3 months,0,11,11,3
Assam,1,2010,Male,Capital Punishment,0,0,3,2
Assam,1,2010,Male,Life Imprisonment,0,405,1086,415
Assam,1,2010,Male,10-13 Plus years,0,120,210,50
Assam,1,2010,Male,7-9 Plus years,0,130,150,49
Assam,1,2010,Male,5-6 Plus years,0,61,115,10
Assam,1,2010,Male,2-4 Plus years,0,30,49,6
Assam,1,2010,Male,1 Less than 2 years,0,30,46,6
Assam,1,2010,Male,6 months less than 1 Yr.,0,31,28,8
Assam,1,2010,Male,3 - 6 months,0,20,37,9
Assam,1,2010,Male,Less than 3 months,0,30,25,5
Assam,1,2011,Male,Capital Punishment,0,0,2,2
Assam,1,2011,Male,Life Imprisonment,0,365,1030,419
Assam,1,2011,Male,10-13 Plus years,0,138,192,39
Assam,1,2011,Male,7-9 Plus years,0,132,145,38
Assam,1,2011,Male,5-6 Plus years,0,55,117,13
Assam,1,2011,Male,2-4 Plus years,0,32,46,7
Assam,1,2011,Male,1 Less than 2 years,0,31,43,5
Assam,1,2011,Male,6 months less than 1 Yr.,0,27,30,7
Assam,1,2011,Male,3 - 6 months,0,25,36,6
Assam,1,2011,Male,Less than 3 months,0,32,28,4
Assam,1,2012,Male,Capital Punishment,0,0,8,2
Assam,1,2012,Male,Life Imprisonment,0,395,1017,395
Assam,1,2012,Male,10-13 Plus years,0,158,167,37
Assam,1,2012,Male,7-9 Plus years,0,145,141,39
Assam,1,2012,Male,5-6 Plus years,0,65,109,14
Assam,1,2012,Male,2-4 Plus years,0,34,47,8
Assam,1,2012,Male,1 Less than 2 years,0,30,45,6
Assam,1,2012,Male,6 months less than 1 Yr.,0,26,31,8
Assam,1,2012,Male,3 - 6 months,0,24,37,7
Assam,1,2012,Male,Less than 3 months,0,33,29,5
Bihar,1,2001,Male,Capital Punishment,1,2,0,0
Bihar,1,2001,Male,Life Imprisonment,1,385,1529,935
Bihar,1,2001,Male,10-13 Plus years,0,0,95,181
Bihar,1,2001,Male,7-9 Plus years,0,132,140,120
Bihar,1,2001,Male,5-6 Plus years,0,132,136,35
Bihar,1,2001,Male,2-4 Plus years,2,85,120,34
Bihar,1,2001,Male,1 Less than 2 years,4,209,164,28
Bihar,1,2001,Male,6 months less than 1 Yr.,4,230,114,9
Bihar,1,2001,Male,3 - 6 months,0,34,65,5
Bihar,1,2001,Male,Less than 3 months,0,21,35,0
Bihar,1,2002,Male,Capital Punishment,0,8,21,27
Bihar,1,2002,Male,Life Imprisonment,0,372,1703,802
Bihar,1,2002,Male,10-13 Plus years,0,114,193,130
Bihar,1,2002,Male,7-9 Plus years,0,57,125,98
Bihar,1,2002,Male,5-6 Plus years,0,83,66,58
Bihar,1,2002,Male,2-4 Plus years,0,37,74,46
Bihar,1,2002,Male,1 Less than 2 years,7,43,47,40
Bihar,1,2002,Male,6 months less than 1 Yr.,13,48,38,41
Bihar,1,2002,Male,3 - 6 months,8,250,53,43
Bihar,1,2002,Male,Less than 3 months,17,203,50,44
Bihar,1,2003,Male,Capital Punishment,0,24,32,8
Bihar,1,2003,Male,Life Imprisonment,0,480,1684,809
Bihar,1,2003,Male,10-13 Plus years,0,160,424,106
Bihar,1,2003,Male,7-9 Plus years,0,58,183,93
Bihar,1,2003,Male,5-6 Plus years,0,65,78,45
Bihar,1,2003,Male,2-4 Plus years,0,41,86,58
Bihar,1,2003,Male,1 Less than 2 years,0,67,87,40
Bihar,1,2003,Male,6 months less than 1 Yr.,0,23,94,49
Bihar,1,2003,Male,3 - 6 months,0,29,65,9
Bihar,1,2003,Male,Less than 3 months,0,39,31,7
Bihar,1,2004,Male,Capital Punishment,0,14,60,13
Bihar,1,2004,Male,Life Imprisonment,0,432,2093,937
Bihar,1,2004,Male,10-13 Plus years,0,121,297,159
Bihar,1,2004,Male,7-9 Plus years,0,70,146,57
Bihar,1,2004,Male,5-6 Plus years,0,78,92,32
Bihar,1,2004,Male,2-4 Plus years,0,49,83,17
Bihar,1,2004,Male,1 Less than 2 years,0,39,83,19
Bihar,1,2004,Male,6 months less than 1 Yr.,0,57,44,13
Bihar,1,2004,Male,3 - 6 months,0,84,60,35
Bihar,1,2004,Male,Less than 3 months,0,115,61,30
Bihar,1,2005,Male,Capital Punishment,0,14,39,4
Bihar,1,2005,Male,Life Imprisonment,0,952,1584,928
Bihar,1,2005,Male,10-13 Plus years,0,178,278,138
Bihar,1,2005,Male,7-9 Plus years,0,70,167,69
Bihar,1,2005,Male,5-6 Plus years,0,182,179,42
Bihar,1,2005,Male,2-4 Plus years,0,13,202,71
Bihar,1,2005,Male,1 Less than 2 years,0,0,98,24
Bihar,1,2005,Male,6 months less than 1 Yr.,0,0,86,12
Bihar,1,2005,Male,3 - 6 months,0,0,62,16
Bihar,1,2005,Male,Less than 3 months,0,0,61,16
Bihar,1,2006,Male,Capital Punishment,0,42,11,10
Bihar,1,2006,Male,Life Imprisonment,0,2599,854,271
Bihar,1,2006,Male,10-13 Plus years,0,473,193,88
Bihar,1,2006,Male,7-9 Plus years,0,417,106,76
Bihar,1,2006,Male,5-6 Plus years,0,346,84,70
Bihar,1,2006,Male,2-4 Plus years,0,215,72,35
Bihar,1,2006,Male,1 Less than 2 years,0,161,70,25
Bihar,1,2006,Male,6 months less than 1 Yr.,0,50,66,18
Bihar,1,2006,Male,3 - 6 months,0,63,63,18
Bihar,1,2006,Male,Less than 3 months,0,54,56,10
Bihar,1,2007,Male,Capital Punishment,0,14,53,12
Bihar,1,2007,Male,Life Imprisonment,0,1081,1706,423
Bihar,1,2007,Male,10-13 Plus years,0,610,292,171
Bihar,1,2007,Male,7-9 Plus years,0,206,258,63
Bihar,1,2007,Male,5-6 Plus years,0,154,200,58
Bihar,1,2007,Male,2-4 Plus years,0,125,107,35
Bihar,1,2007,Male,1 Less than 2 years,0,119,98,27
Bihar,1,2007,Male,6 months less than 1 Yr.,0,52,52,10
Bihar,1,2007,Male,3 - 6 months,0,50,43,6
Bihar,1,2007,Male,Less than 3 months,0,45,52,8
Bihar,1,2008,Male,Capital Punishment,0,16,28,11
Bihar,1,2008,Male,Life Imprisonment,0,852,1601,575
Bihar,1,2008,Male,10-13 Plus years,0,637,300,190
Bihar,1,2008,Male,7-9 Plus years,0,234,232,72
Bihar,1,2008,Male,5-6 Plus years,0,142,181,56
Bihar,1,2008,Male,2-4 Plus years,0,120,99,34
Bihar,1,2008,Male,1 Less than 2 years,0,50,103,32
Bihar,1,2008,Male,6 months less than 1 Yr.,0,47,56,21
Bihar,1,2008,Male,3 - 6 months,0,45,51,19
Bihar,1,2008,Male,Less than 3 months,0,0,47,17
Bihar,1,2009,Male,Capital Punishment,0,11,18,10
Bihar,1,2009,Male,Life Imprisonment,0,819,1513,513
Bihar,1,2009,Male,10-13 Plus years,0,603,274,165
Bihar,1,2009,Male,7-9 Plus years,0,223,215,60
Bihar,1,2009,Male,5-6 Plus years,0,137,163,41
Bihar,1,2009,Male,2-4 Plus years,0,109,79,32
Bihar,1,2009,Male,1 Less than 2 years,0,43,98,32
Bihar,1,2009,Male,6 months less than 1 Yr.,0,37,49,20
Bihar,1,2009,Male,3 - 6 months,0,37,41,21
Bihar,1,2009,Male,Less than 3 months,0,0,42,18
Bihar,1,2010,Male,Capital Punishment,0,7,15,9
Bihar,1,2010,Male,Life Imprisonment,0,749,1481,522
Bihar,1,2010,Male,10-13 Plus years,0,559,249,166
Bihar,1,2010,Male,7-9 Plus years,0,206,199,55
Bihar,1,2010,Male,5-6 Plus years,0,129,147,41
Bihar,1,2010,Male,2-4 Plus years,0,102,80,33
Bihar,1,2010,Male,1 Less than 2 years,0,42,91,28
Bihar,1,2010,Male,6 months less than 1 Yr.,0,36,45,21
Bihar,1,2010,Male,3 - 6 months,0,31,43,23
Bihar,1,2010,Male,Less than 3 months,0,2,40,15
Bihar,1,2011,Male,Capital Punishment,0,5,27,5
Bihar,1,2011,Male,Life Imprisonment,0,787,1340,736
Bihar,1,2011,Male,10-13 Plus years,0,157,164,86
Bihar,1,2011,Male,7-9 Plus years,0,95,134,65
Bihar,1,2011,Male,5-6 Plus years,0,75,91,42
Bihar,1,2011,Male,2-4 Plus years,0,89,106,32
Bihar,1,2011,Male,1 Less than 2 years,0,51,95,42
Bihar,1,2011,Male,6 months less than 1 Yr.,0,82,62,19
Bihar,1,2011,Male,3 - 6 months,0,27,27,12
Bihar,1,2011,Male,Less than 3 months,0,19,29,7
Bihar,1,2012,Male,Capital Punishment,0,5,29,8
Bihar,1,2012,Male,Life Imprisonment,0,566,1327,611
Bihar,1,2012,Male,10-13 Plus years,0,167,188,78
Bihar,1,2012,Male,7-9 Plus years,0,88,127,67
Bihar,1,2012,Male,5-6 Plus years,0,58,108,46
Bihar,1,2012,Male,2-4 Plus years,0,71,111,42
Bihar,1,2012,Male,1 Less than 2 years,0,50,68,28
Bihar,1,2012,Male,6 months less than 1 Yr.,0,38,42,7
Bihar,1,2012,Male,3 - 6 months,0,14,14,0
Bihar,1,2012,Male,Less than 3 months,0,31,17,0
Chhattisgarh,1,2012,Male,Capital Punishment,0,0,1,0
Chhattisgarh,1,2012,Male,Life Imprisonment,0,1536,1781,666
Chhattisgarh,1,2012,Male,10-13 Plus years,0,287,198,74
Chhattisgarh,1,2012,Male,7-9 Plus years,0,243,176,63
Chhattisgarh,1,2012,Male,5-6 Plus years,0,122,86,19
Chhattisgarh,1,2012,Male,2-4 Plus years,0,88,86,15
Chhattisgarh,1,2012,Male,1 Less than 2 years,0,68,33,10
Chhattisgarh,1,2012,Male,6 months less than 1 Yr.,0,52,31,9
Chhattisgarh,1,2012,Male,3 - 6 months,0,40,8,8
Chhattisgarh,1,2012,Male,Less than 3 months,0,8,10,2
Chhattisgarh,1,2001,Male,Capital Punishment,0,0,1,0
Chhattisgarh,1,2001,Male,Life Imprisonment,4,1273,1271,393
Chhattisgarh,1,2001,Male,10-13 Plus years,1,161,128,24
Chhattisgarh,1,2001,Male,7-9 Plus years,1,93,90,19
Chhattisgarh,1,2001,Male,5-6 Plus years,0,137,114,23
Chhattisgarh,1,2001,Male,2-4 Plus years,12,96,134,15
Chhattisgarh,1,2001,Male,1 Less than 2 years,0,66,81,22
Chhattisgarh,1,2001,Male,6 months less than 1 Yr.,3,67,65,28
Chhattisgarh,1,2001,Male,3 - 6 months,2,86,52,4
Chhattisgarh,1,2001,Male,Less than 3 months,6,31,37,8
Chhattisgarh,1,2002,Male,Capital Punishment,0,1,4,0
Chhattisgarh,1,2002,Male,Life Imprisonment,9,1440,1606,231
Chhattisgarh,1,2002,Male,10-13 Plus years,15,145,107,46
Chhattisgarh,1,2002,Male,7-9 Plus years,22,184,176,48
Chhattisgarh,1,2002,Male,5-6 Plus years,4,97,84,15
Chhattisgarh,1,2002,Male,2-4 Plus years,3,72,49,6
Chhattisgarh,1,2002,Male,1 Less than 2 years,6,43,54,7
Chhattisgarh,1,2002,Male,6 months less than 1 Yr.,5,73,56,4
Chhattisgarh,1,2002,Male,3 - 6 months,12,42,44,7
Chhattisgarh,1,2002,Male,Less than 3 months,9,59,41,8
Chhattisgarh,1,2003,Male,Capital Punishment,0,0,1,0
